-7.59678936,-13.2316475,-13.9749565,-17.2530479,-15.1976309,-16.8118801,-17.2969208,-15.1079206,-17.26297,-16.1721935,-12.7238874,-13.1293421,-20.207468,-18.1484947,-16.6793423,-16.0920677,-18.9844151,-11.7175837,-13.1467314,-11.1523123,-15.7871132,-12.9197569,-12.7901859,-16.1273937,-13.1290226,-13.2802076,-11.1020575,-14.9544764,-12.6807661,-11.8579397,-14.6633158,-11.205924,-13.6255131,-12.0644808,-0.000611356751,-11.5018635,-13.9852753,-13.6429882,-13.9391794,-12.8091488,-12.3141146,-16.0416431
-2.57867289,-9.15434647,-12.7539368,-15.1180439,-10.1495552,-11.2812796,-10.0266361,-15.5460567,-13.065958,-12.0972929,-9.28502655,-11.3603592,-12.7894707,-13.5944939,-20.3107872,-10.007369,-16.5505829,-9.54159832,-8.73121071,-9.65596962,-11.8859711,-10.4780741,-9.33012772,-9.08256149,-11.3601627,-9.46287537,-8.0986805,-10.7889824,-10.3652592,-10.595314,-11.0871353,-8.83096886,-12.3889275,-9.39991188,-0.0813755319,-9.18439865,-14.2118502,-11.9929152,-13.6911125,-7.73398256,-13.6494989,-9.12683868
-0.00232450012,-8.90012836,-10.1024857,-11.1810217,-12.8498602,-9.55666065,-9.29411316,-15.2117023,-10.2718,-12.8824959,-13.1366329,-13.1909084,-12.8117704,-8.69225597,-21.3038292,-8.47476006,-10.3229113,-11.3136749,-10.1857805,-12.5315952,-10.8689699,-10.6100874,-12.2791176,-12.969059,-10.644681,-11.2818604,-10.5069304,-8.70238686,-11.0644178,-10.1334829,-7.83668756,-10.1487188,-10.0107489,-9.02602768,-9.70066547,-9.61543846,-17.6627483,-10.2580738,-11.2832975,-11.1923113,-13.6744099,-8.00975323
-0.00159874838,-9.10600281,-11.3700676,-9.40696049,-11.283783,-9.30538368,-10.402791,-12.5512762,-9.84937763,-14.2955666,-14.0527735,-12.901391,-13.5843687,-9.55990219,-18.5170822,-9.5936451,-10.5917177,-10.4613743,-10.0027742,-13.2654896,-10.6127663,-12.2893667,-10.9579344,-10.6467619,-10.6592197,-11.4530735,-9.79984283,-9.78534985,-10.7395811,-9.63968658,-8.20728016,-10.021965,-10.176878,-9.55599022,-10.2011204,-9.75016975,-15.4896021,-10.3911028,-11.1200809,-10.9410915,-11.7513046,-9.68407822
-0.0199374706,-9.55366421,-10.4079161,-11.0435457,-7.18421793,-10.1537857,-9.46193886,-9.2194128,-10.5196228,-13.9308462,-9.61340237,-7.37285709,-11.4646215,-10.5778122,-12.3591452,-9.90353107,-11.1475143,-6.86916637,-6.84078455,-8.16115475,-9.89132214,-8.01355839,-7.01579285,-7.26055813,-8.91944504,-8.20654488,-6.35742235,-5.8080616,-7.41673279,-6.97157812,-9.22186375,-7.03207779,-7.65691471,-6.35573196,-7.73158169,-6.74755669,-9.40538979,-9.74064064,-7.95148182,-6.96388531,-7.61840439,-10.4711189
-0.0280667357,-6.39512444,-7.78810072,-7.52389526,-7.75425339,-7.31392479,-6.89362526,-9.77415562,-7.61068153,-11.1957417,-9.31190109,-8.71804237,-8.05162621,-7.29253912,-12.556222,-7.93726158,-7.36229563,-6.30966616,-5.9908905,-9.08245754,-7.93212223,-8.234972,-6.82901382,-7.26363087,-7.82877254,-7.63027668,-6.63333416,-7.16248989,-7.64331818,-7.14165306,-6.7287693,-6.64070988,-7.5017128,-6.19095707,-10.0983238,-7.18990231,-9.90461731,-8.25568199,-8.6817112,-6.46832752,-8.24970245,-7.06692696
-0.185051635,-6.79440165,-7.37484026,-8.35271931,-5.76352692,-7.58335972,-7.21437216,-7.58042717,-8.05366898,-10.9807053,-6.89950132,-5.47411489,-8.82484818,-7.8898716,-9.75590324,-7.98915529,-7.81771612,-4.04720783,-4.26969147,-6.17773199,-8.0961647,-4.93011904,-4.37847281,-5.17612982,-6.88710642,-6.52295828,-4.14337635,-4.84357309,-5.23090029,-4.87463856,-7.15689754,-4.22251129,-5.49436331,-4.45824242,-7.5850234,-4.55654573,-6.83394766,-7.91575003,-6.05776548,-4.9603529,-5.76167011,-7.34909296
-0.0479111038,-5.91972065,-6.52821112,-7.41977549,-7.63242722,-6.76811838,-6.52760363,-9.09665966,-7.23999691,-10.3810549,-9.03065777,-7.5275054,-7.41600084,-6.65047026,-11.2767067,-8.01835728,-6.9853425,-5.92900419,-5.53362226,-8.19951344,-7.59924984,-7.21812773,-6.29398394,-6.41335249,-7.11123705,-7.94939947,-6.48544741,-6.38067007,-6.73301697,-6.71198416,-6.34168577,-6.0927825,-6.81252432,-6.00478125,-7.96736383,-6.35938931,-9.37064743,-7.01008654,-8.35121727,-5.80322695,-7.28784275,-6.67389679
-0.248315677,-7.06834841,-7.0730195,-8.59271622,-5.66420555,-7.75144672,-7.9524312,-7.42808819,-8.1757679,-10.1697807,-6.76058769,-4.83604336,-9.31748486,-8.1089077,-9.88101196,-8.51976013,-7.73239613,-3.79273105,-4.31741095,-5.97734833,-8.31759262,-4.64145851,-4.07784939,-4.37154293,-7.05625534,-6.32086086,-4.13001156,-4.59820366,-4.71288204,-5.07731438,-6.56612301,-3.6964047,-5.26302195,-4.58851433,-7.08869696,-4.36244392,-6.91781139,-7.83758593,-5.80172014,-4.00272036,-5.97386551,-7.82621431
-0.696283042,-6.47539902,-6.33299112,-8.0913868,-4.66494083,-7.23605537,-7.59447908,-7.36685467,-7.59616899,-9.40674591,-5.97407436,-3.98473859,-9.25966644,-7.2280035,-9.7388401,-7.8928504,-6.69178057,-3.19181514,-3.8934145,-5.41501284,-7.90446234,-3.84537315,-3.42708564,-2.58896756,-6.70870066,-5.75739288,-3.62515926,-4.35239458,-3.99987531,-5.51211929,-5.65455294,-2.64045405,-5.04324007,-3.95466924,-6.05630541,-4.39758062,-6.5242877,-7.4263339,-5.91999102,-2.56009269,-5.71623755,-7.58893347
